,DS_MOD_CONCORRENCIA
V,"que cursaram o Ensino Médio, integral e exclusivamente, em escola pública do Brasil, e que não tenham concluído curso de graduação (Vaga EP)"
V,Pessoas com Deficiência
V,"Refugiados e Solicitantes de Refúgio, independentemente de renda familiar"
V,Refugiados e Solicitantes de Refúgio em situação de Vulnerabilidade Econômica
V,"Pessoas Transgêneras, independentemente de renda familiar"
V,Pessoas Transgêneras em situação de Vulnerabilidade Econômica
V,Candidato (s) economicamente hipossuficientes negros e pardos
V,Candidato (s) economicamente hipossuficientes indígenas
V,Candidato (s) economicamente hipossuficientes
B,Bônus na nota
V,Candidato (s) que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que sejam índios reconhecidos pela FUNAI ou moradores de comunidades remanescentes de quilombos registrados na Fundação Cultural Palmares.
V,Candidato (s) que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública  e que não se autodeclararam negros.
V,Candidato (s) que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que se autodeclararam negros.
V,surdos que optarem pelas vagas destinadas à ampla concorrência terão bonificação de 20% na pontuação final do Exame Nacional do Ensino Médio (ENEM).
B,Bonus regional
V,"Candidato(s) que comprovem residência em um dos municípios da Região Sertão Central do Estado do Ceará (Banabuiú, Choró, Deputado Irapuan Pinheiro, Ibaretama, Ibicuitinga, Milhã, Mombaça, Pedra Branca, Piquet Carneiro, Quixadá, Quixeramobim, Senador Pompeu e Solonópole), estabelecida pela Lei Complementar nº 154, de 20/10/2015."
LB_PPI ,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
LI_PPI ,"Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
LB_Q   ,"Candidatos autodeclarados quilombolas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
LI_Q   ,"Candidatos autodeclarados quilombolas, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
LB_PCD ,"Candidatos com deficiência, que tenham renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)"
LI_PCD ,"Candidatos com deficiência, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
LB_EP  ,Candidatos com renda familiar bruta per capita igual ou inferior a 1 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).
LI_EP  ,"Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
B,que tenham cursado integralmente o ensino médio em qualquer uma das escolas situadas nas microrregiões do Agreste ou do Sertão de Pernambuco.
B,"BONIFICAÇÃO ESTADUAL (BE - B5825): candidatos que atendam aos critérios estabelecidos pela Resolução nº 43/2021 CONSEPE/UFPB e suas alterações para bonificação de inclusão estadual: para os candidatos que pleiteiam vaga em cursos de graduação da UFPB, via SiSU, que residem e comprovem residência no Estado da Paraíba e tenham estudado integralmente o Ensino Médio em escolas regulares, públicas e/ou privadas, ou tenham obtido o certificado de Ensino Médio pela Educação de Jovens e Adultos (EJA), ou pelo Exame Nacional para Certificação de Competências para Jovens e Adultos (ENCCEJA) no Estado da Paraíba."
V,"com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial."
V,"Candidatos membros de comunidade quilombola e que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)"
V,"Candidatos membros de grupos indígenas (aldeados) e que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)"
V,"Candidatos membros de Comunidade Cigana que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)"
V,"Candidatos Transsexuais, Travestis e Transgêneros que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)"
V,"Candidatos com Deficiência que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)"
V,"Candidatos que se declararem negros (pretos e pardos) e que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública (renda familiar de 1,5 salários mínimos per capita)"
V,"Candidatos que se declararem não-negros e que tenham cursado todo o ensino médio e pelo menos quatro anos letivos do Ensino Fundamental em escola pública  (renda familiar de 1,5 salários mínimos per capita)"
V,"que se autodeclaram negros (pretos e pardos), que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino ou tenham obtido certificado de conclusão com base no resultado do Exame Nacional do Ensino Médio, ENEM, ou do Exame Nacional de Certificação de Competências de Jovens e Adultos, ENCCEJA, ou de exames de certificação de competência ou de avaliação de jovens e adultos realizados pelos sistemas públicos de ensino e não possuam curso superior concluído ou não estejam matriculados em curso superior."
V,"que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino ou tenham obtido certificado de conclusão com base no resultado do Exame Nacional do Ensino Médio, ENEM, ou do Exame Nacional de Certificação de Competências de Jovens e Adultos, ENCCEJA, ou de exames de certificação de competência ou de avaliação de jovens e adultos realizados pelos sistemas públicos de ensino e não possuam curso superior concluído ou não estejam matriculados em curso superior."
V,"Pessoas com deficiência, em conformidade com a Lei Estadual nº 20.443, de 17 de dezembro de 2020, que dispõe sobre o ingresso de pessoas com deficiência nas instituições estaduais de educação superior, e não tenham concluído curso superior."
V,Candidatos com deficiência (ampla concorrência - Resolução nº 05/2017-CONSUP/IFRN)
V,"A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Carente Socioeconômico e filho(a) de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço"
V,A3 - Carente Socioeconômico e oriundo da Rede Pública de ensino
LB_PP  ,"Candidatos autodeclarados pretos ou pardos, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
LI_PP  ,"Candidatos autodeclarados pretos ou pardos, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
LB_I   ,"Candidatos autodeclarados indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
LI_I   ,"Candidatos autodeclarados indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
B,Res. 044/2015-CONSEPE - estabelece bonificações para os candidatos aos cursos de graduação da UFAM que tenham cursado integralmente o ensino médio em instituições de ensino situadas no estado do Amazonas
V,Indígenas que cursaram integralmente o Ensino Médio em escolas públicas
V,Candidatos que cursaram integralmente o ensino médio em instituições de ensino situadas no estado de Mato Grosso
V,Indígenas
V,Quilombola
V,que comprovem residência em Fortaleza ou em  um dos municípios da Região Metropolitana  de Fortaleza do Estado do Ceará;
V,que comprovem residência em um dos municípios do Cariri-Centro Sul do Estado do Ceará.
V,que tenham concluído o Ensino Médio no Estado do Ceará;
V,"pertencentes a povos de comunidades remanescentes de quilombos ou comunidades identitárias tradicionais, que tenham cursado integralmente o ensino médio em escolas públicas."
V,"pertencentes a povos indígenas aldeados, que tenham cursado integralmente o ensino médio em escolas públicas."
V,"transexuais, travestis e transgêneros, que tenham cursado integralmente o ensino médio em escolas públicas."
V,"pertencentes a povos de origem cigana, que tenham cursado integralmente o ensino médio em escolas públicas."
V,"em situação de privação de liberdade ou egressas do sistema prisional ou refugiadas, que tenham cursado integralmente o ensino médio em escolas públicas."
V,inclusão regional
V,que comprovem residência em um dos municípios  da região Sobral-Ibiapina do Estado do Ceará;
V,que comprovem residência em um dos municípios do Litoral Leste-Jaguaribe do Estado do Ceará;
V,que comprovem residência em um dos municípios do Sertão dos Inhamuns do Estado do Ceará;
V,que comprovem residência em um dos municípios do Sertão Central  do Estado do Ceará;
V,que comprovem residência em um dos municípios do Litoral Oeste  do Estado do Ceará;
V,"que pleiteiem vaga em cursos de graduação da UFCG, por meio do SiSU ou Vestibular Especial, e que satisfaçam aos critérios estabelecidos pela Resolução nº 09/2022 do Colegiado Pleno da UFCG relativa à bonificação de inclusão estadual."
V,"Candidatos A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Carente Socioeconômico e filho (a) de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço"
V,Candidatos A3 - Carente Socioeconômico e oriundo da Rede Pública de ensino
V,filhos de empregados rurais ou filhos de famílias pronafianas (famílias beneficiárias do Programa Nacional de Fortalecimento da Agricultura Familiar ¿ PRONAF) ou filhos de assentados da Reforma Agrária.
V,"Candidatos professores em exercício do magistério da Pré-Escola, do Ensino Fundamental e Médio da rede pública se ensino."
V,"L1 - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)"
V,"L2 - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
V,"L5 - Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
V,"L6 - Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
V,que comprovem residência em um dos municípios da região de Baturité do Estado do Ceará;
V,com deficiência (Denominada A1)
V,autodeclarados Negros (Denominada A2)
B,"Ação Afirmativa - Curso de Medicina do Campus A. C. Simões (Bônus de 3%), de acordo com a Resolução nº 91/2022 - CONSUNI/UFAL, de 01 de novembro de 2022."
V,Candidato (s) Indígenas
V,Candidato (s) Quilombolas
V,Candidatos residentes na área de abrangência do campus de oferta do curso
V,"L9 - Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
V,"L13 - Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
V,Candidatos Candidatos Quilombolas-Resolução n° 78/2022 CONSUP/IFBA
V,"EGRESSOS DE ESCOLAS PÚBLICAS QUE SE AUTODECLARAM PRETOS, PARDOS E ÍNDIOS (EP PPI) - ENSINO FUNDAMENTAL E MÉDIO"
V,Candidatos EGRESSOS DE ESCOLAS PÚBLICAS (EP) - ENSINO FUNDAMENTAL E MÉDIO
V,que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais das mesorregiões descritas pelo IBGE: I. Zona da Mata pernambucana e II. Agreste pernambucano.
V,que tiverem cursado e concluído no mínimo 2/3 do ensino médio (dois anos completos dos três anos previstos) nas escolas regulares e presenciais das mesorregiões da Zona da Mata Pernambucana e do Agreste Pernambucano
V,Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas e gratuitas de ensino
V,que tiverem cursado e concluído no mínimo 2/3 do ensino médio (dois anos completos dos três anos previstos) nas escolas regulares e presenciais no Estado de Pernambuco.
V,que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais no Estado de Pernambuco
V,Candidato (s) que tenham cursado na rede pública todo o ensino médio e com comprovação de carência socioeconômica
V,"Candidato (s) negros, indígenas ou quilombolas com comprovação de carência socioeconômica"
V,#NAME?
V,Cota Social - Candidatos que frequentaram integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
V,"concorrentes às vagas de ampla concorrência para o Curso de Medicina do Campus de Imperatriz ou Campus de Pinheiro ou Campus de São Luís (Cidade Universitária) que concluíram todo o Ensino Médio (1º, 2º e 3º ano) em escolas regulares e presenciais no Estado do Maranhão, conforme o Art. 3º, II, ou Art. 5º, II, ou 7º da Res. CONSEPE nº 2.648-2022. (5%)"
V,Cota Sociorracial: candidatos(as) autodeclarados(as) negros(as) e que tenham frequentado integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
V,autodeclarados negros e que não tenham concluído curso de graduação.
V,indígenas e que não tenham concluído curso de graduação.
V,quilombolas e que não tenham concluído curso de graduação.
V,com deficiência e que não tenham concluído curso de graduação.
V,"Trans (transexuais, travestis e transgêneros) e que não tenham concluído curso de graduação."
V,"que tenham cursado integralmente o ensino médio em escolas públicas ou cursado integralmente o ensino médio em escolas privadas com bolsa de estudo integral, e que não tenham concluído curso de graduação."
V,ciganos e que não tenham concluído curso de graduação.
V,que residam e tenham cursado todo o ensino médio em instituições (da rede pública ou privada) de Ensino do Estado da Paraíba (Lei nº 12.122 de 09 de Novembro de 2021)
V,Candidato (s) A3 - Carente Socioeconômico e oriundo da Rede Pública de ensino
V,(s) A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas
V,"(s)  A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Pessoas Carentes Socioeconômicos e filhos de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço"
LI_EP  ,Candidatos Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino
V,"concorrentes às vagas de ampla concorrência para o Curso de Medicina - Campus Imperatriz que concluíram todo o Ensino Médio (1º, 2º e 3º ano) em escolas regulares e presenciais do entorno de um raio de 150 km do município de Imperatriz, conforme Art. 4º da Res. CONSEPE nº 2.648-2022. (10%)"
V,Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas com comprovação de carência socioeconômica
V,que tenham cursado na rede pública todo o ensino médio e com comprovação de carência socioeconômica
V,"com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
V,"concorrentes às vagas de ampla concorrência para o Curso de Medicina - Campus Pinheiro, que concluíram todo o Ensino Médio (1º, 2º e 3º ano) em escolas regulares e presenciais do entorno de um raio de 150 km do município de Pinheiro, conforme Art. 6º da Res. CONSEPE nº 2.648-2022. (20%)"
B,surdos que optarem pelas vagas destinadas à ampla concorrência terão bonificação de 20% na pontuação final do Exame Nacional do Ensino Médio (ENEM).
V,que tenham cursado integralmente o Ensino Médio em escolas públicas;
V,"pretos e pardos, que tenham cursado integralmente o Ensino Médio em escolas públicas;"
V,"COTAS - Escolas Públicas -  Lei Estadual no 6.542, de 7 de dezembro de 2004"
V,"A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Carente Socioeconômico e filho (a) de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço"
V,A3- Carente Socioeconômico e oriundo da Rede Pública de ensino
V,A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de  Comunidades Quilombolas
V,"que tenham cursado integralmente o ensino médio em escolas públicas, autodeclarados pretos, pardos ou indígenas, nos termos da legislação, que comprovem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita."
V,"que tenham cursado integralmente o ensino médio em escolas públicas, autodeclarados pretos, pardos ou indígenas, nos termos da legislação, que não declarem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita."
V,"que tenham cursado integralmente o ensino médio em escolas públicas, que não tenham se declarado pretos, pardos ou indígenas, nos termos da legislação, e que comprovem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita."
V,"que tenham cursado integralmente o ensino médio em escolas públicas, que não tenham se declarado pretos, pardos ou indígenas, nos termos da legislação, que não declarem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita."
V,"estudantes que cursaram integralmente o ensino médio em instituições de ensino situadas no Estado de Mato Grosso ou em municípios de estados vizinhos ao Mato Grosso, que estejam até, no máximo 100 km rodoviários de campus da UFMT em sedes municipais situadas no limite do estado."
V,"PPI - Cota Social - Pretos, Pardos ou Indígenas"
V,PcD - Pessoa com Deficiência
V,EEP - Cota Social - Egressos Escola Pública
V,"autodeclarados pretos ou pardos, com renda familiar bruta per capita igual ou inferior a 1,5 salários mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Resolução CONSEPE nº 5.668/2023)"
V,Candidato (s) Oriundos da rede pública de ensino.
V,com deficiência auditiva especificamente no curso de Letras - Libras
V,que cursaram integralmente o Ensino Médio em Escola Pública/DEMAIS ESTUDANTES DE ESCOLA PÚBLICA
V,que cursaram integralmente o Ensino Médio em Escola Pública/ESTUDANTES INDÍGENAS
V,que comprovem serem empregados rurais ou filhos de empregados rurais ou filhos/membros de famílias pronafianas ou filhos/membros de assentados da reforma agrária (PRONAF)
V,que comprovem serem pessoas com deficiência (PCD)
B,Bônus Regional de 20% ( cursos campus Vitória da Conquista)
B,Bonus Regional de 20% ( cursos campus camaçari)
V,Vagas para PcD
V,"Ação Afirmativa 2 - Pessoas com deficiência que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5);"
V,"Ação Afirmativa 1 - Pessoas negras, quilombolas e indígenas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5)."
V,"Ação Afirmativa 3 - Pessoas que tenham cursado integralmente o Ensino Médio em escolas da rede pública de ensino, com renda per capita (mensal) de até um salário-mínimo e meio (1,5) e que não estejam concorrendo na forma das Ações Afirmativas 1 e 2."
LB_PPI ,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
LI_PPI ,"Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
LB_Q   ,"Candidatos autodeclarados quilombolas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
LI_Q   ,"Candidatos autodeclarados quilombolas, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
LB_PCD ,"Candidatos com deficiência, que tenham renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)"
LI_PCD ,"Candidatos com deficiência, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
LB_EP  ,Candidatos com renda familiar bruta per capita igual ou inferior a 1 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).
LI_EP  ,"Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
V,"Pessoas com deficiência, em conformidade com a Lei Estadual nº 20.443, de 17 de dezembro de 2020, que dispõe sobre o ingresso de pessoas com deficiência nas instituições estaduais de educação superior, e não estejam matriculados ou tenham concluído curso superior.  As deficiências para o direito às vagas, segundo Decreto nº 5.296/2004, Lei Federal nº 12.764/2012 e Lei Federal nº 14.126/2021, estão dispostas no endereço https://www3.unicentro.br/vestibular/sisu/cotas-pcd/"
V,"que se autodeclaram negros (pretos e pardos), oriundos de qualquer percurso de formação, que não possuam curso superior concluído ou não estejam matriculados em curso superior."
V,"Pessoas com deficiência, oriundos de qualquer percurso escolar"
V,que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que se autodeclararam negros.
V,que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que não se autodeclararam negros.
V,que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que sejam Pessoa com Deficiência (PcD).
V,que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que sejam índios reconhecidos pela FUNAI ou moradores de comunidades remanescentes de quilombos registrados na Fundação Cultural Palmares.
V,"LT - Pessoas Transgêneros, Transexuais e Travestis"
V,Cotas Sociais para Negros
V,Cotas Sociais
V,Cotas PcD
V,Cotas Negros
V,"LEI Nº 6.542, DE 7 DE DEZEMBRO DE 2004. ESTABELECE RESERVA DE VAGAS NAS UNIVERSIDADES PÚBLICAS DO ESTADO PARA ALUNOS EGRESSOS DA REDE PÚBLICA DE ENSINO."
V,que cursaram integralmente o Ensino Médio em Escola Pública/ESTUDANTES COM DEFICIÊNCIA
V,"com deficiência, ou filhos de policiais civis, militares, bombeiros militares e inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
V,"negros, indígenas ou quilombolas com comprovação de carência socioeconômica"
V,"A1 - que tenham cursado integralmente o ensino médio em escolas públicas, autodeclarados pretos, pardos ou indígenas, nos termos da legislação, que comprovem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita."
V,"A2 - que tenham cursado integralmente o ensino médio em escolas públicas, autodeclarados pretos, pardos ou indígenas, nos termos da legislação, que não declarem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita."
V,"A3 - que tenham cursado integralmente o ensino médio em escolas públicas, que não tenham se declarado pretos, pardos ou indígenas, nos termos da legislação, e que comprovem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita."
V,"A4  - que tenham cursado integralmente o ensino médio em escolas públicas, que não tenham se declarado pretos, pardos ou indígenas, nos termos da legislação, que não declarem ser oriundos de famílias com renda igual ou inferior a 1 (um) salário-mínimo per capita."
LB_PP  ,"Candidatos autodeclarados pretos ou pardos, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
LI_PP  ,"Candidatos autodeclarados pretos ou pardos, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
LB_I   ,"Candidatos autodeclarados indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
LI_I   ,"Candidatos autodeclarados indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012)."
V,PR - PRODUTORES RURAIS
V,"Candidatos autodeclarados como pessoa trans, com renda familiar bruta per capita igual ou inferior a 1 salários mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Resolução CONSEPE nº 5.905/2024)"
V,"travestis, transexuais, transgêneras - transmasculinas, transfemininas e/ou trans não binárias, que tenham cursado o ensino médio integralmente em escola pública,"
V,refugiados
B,Candidatos Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino
V,Pardos e Pretos
V,Escola Pública
V,"Professores em exercício do magistério da Pré-Escola, do Ensino Fundamental e Médio da Rede Pública de Ensino"
V,"Autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012). Proposta reparatória para ocupação irregular de vagas ocorrida entre 2013 e 2017."
V,Pessoa com Deficiência (PcD)
V,Cota Social - Egresso de Escola Pública (EEP)
V,"Cota Social - Pretos, Pardos e Indígenas (PPI)"
V,"Candidatos estudantes oriundos de Escolas Públicas integrantes da estrutura da Secretaria de Estado de Educação, unidade integrante do Governo do Estado ou Municípios, vinculadas pedagógica e administrativamente às respectivas Diretorias Regionais de Ensino, com renda familiar de até 02 (dois) salários mínimos."
V,"Candidatos estudantes oriundos de Escolas Públicas integrantes da estrutura da Secretaria de Estado de Educação, unidade integrante do Governo do Estado ou Municípios, vinculadas pedagógica e administrativamente às respectivas Diretorias Regionais de Ensino autodeclarados pretos ou pardos"
V,Quilombolas
V,"Candidatos egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com renda familiar bruta per capita igual ou inferior a 1 salário mínimo (corresponde ao estrato A1 e a 10% das vagas), devendo essa condição ser comprovada no ato da matrícula."
V,"Candidatos egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com qualquer renda renda per capita bruta (corresponde ao estrato A2 e a 10% das vagas), devendo essa condição ser comprovada no ato da matrícula."
V,"Candidatos Candidatos egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com renda familiar bruta per capita igual ou inferior a 1 salário mínimo, para estudantes autodeclarados (as) pretos(as), pardos(as), quilombolas ou indígenas (corresponde ao estrato A3 e a 10% das vagas), devendo essa condição ser analisada e aprovada por Comissão de Heteroidentificação, bem como comprovada no ato da matrícula."
V,"Candidatos Candidatos egressos de escolas públicas da rede federal, estadual ou municipal, que cursaram os anos finais do Ensino Fundamental (6º ao 9º anos) e todo o Ensino Médio (1º ao 3º anos), com qualquer renda familiar bruta per capita, para estudantes autodeclarados (as) pretos(as), pardos(as), quilombolas ou indígenas (corresponde ao estrato A4 e a 10% das vagas), devendo essa condição ser analisada e aprovada por Comissão de Heteroidentificação, bem como comprovada no ato da matrícula."
V,"travestis, homens trans, mulheres trans e pessoas não bináries que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
V,"com deficiência, autista, altas habilidades e superdotação que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
V,"A1 - Carente Socioeconômico e Pessoa com Deficiência - PcD ou Pessoas Carentes Socioeconômicos e filhos de Policiais Civis, Militares, Bombeiros Militares e de Inspetores de Segurança e Administração Penitenciária, Mortos ou Incapacitados em Razão do Serviço."
V,A2 - Carente Socioeconômico e Negros/Indígenas ou alunos oriundos de Comunidades Quilombolas.
